Country_or_region,URL,Tag
Abyei Area,http://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/S_2015_302.pdf,Conflict and violence
Afghanistan,http://www.independent.co.uk/news/world/asia/160-killed-and-hundreds-left-stranded-by-flooding-across-afghanistan-and-pakistan-8746566.html,Disasters
Afghanistan,http://reliefweb.int/sites/reliefweb.int/files/resources/Natural%20Hazards%20Update%204-10%20February_1.pdf,Disasters
Afghanistan,https://www.humanitarianresponse.info/en/operations/afghanistan/document/rafdump01-jan-2015-till-31-dec-2015-0,Disasters
Afghanistan,http://floodlist.com/asia/afghanistan-flash-floods-faryab-baghlan-8-dead,Disasters
Afghanistan,http://floodlist.com/asia/afghanistan-6-dead-flash-floods-kofab-badakhshan-july-2015,Disasters
Afghanistan,http://reliefweb.int/report/afghanistan/afghanistan-earthquake-overview-assessed-needs-and-response-23-november-2015,Disasters
Afghanistan,http://reliefweb.int/sites/reliefweb.int/files/resources/25_dec_15_afg_earthquake_flash_update_-_no._3_-_3_jan_15_0.pdf,Disasters
Afghanistan,http://erccportal.jrc.ec.europa.eu/getdailymap/docId/1125,Disasters
Afghanistan,http://www.unhcr.af/UploadDocs/DocumentLibrary/UNHCR_IDP_Monthly_update_January_2015_635602076387647568.pdf,Conflict and violence
Afghanistan,http://www.unhcr.af/UploadDocs/DocumentLibrary/IDP_monthly_update_February_2015_635633080076254870.pdf,Conflict and violence
Afghanistan,http://www.refworld.org/pdfid/5534d99e4.pdf,Conflict and violence
Afghanistan,http://www.unhcr.af/UploadDocs/DocumentLibrary/UNHCR_Monthly_IDP_update_April_2015_635680629279025367.pdf,Conflict and violence
Afghanistan,http://www.unhcr.af/UploadDocs/DocumentLibrary/May_2015_IDP_Report_635713402501810000.pdf,Conflict and violence
Afghanistan,http://www.unhcr.af/UploadDocs/DocumentLibrary/UNHCR_IDP_monthly_update_July_2015n__635773959559320000.pdf,Conflict and violence
Albania,http://www.euronews.com/2014/11/19/albania-floods-kill-at-least-3-people/,Disasters
Algeria,http://www.aps.dz/regions/10028-pr%C3%A8s-de-1-100-familles-victimes-du-s%C3%A9isme-du-1er-ao%C3%BBt-relog%C3%A9es-%C3%A0-alger,Disasters
Algeria,http://floodlist.com/africa/torrential-rains-destroy-400-homes-in-algeria,Disasters
Angola,"http://www.portalangop.co.ao/angola/pt_pt/noticias/sociedade/2013/2/12/Chuva-deixa-ruas-bairros-Luanda-inundados,b27f0ede-c278-48e7-9648-67e6d8236f03.html",Disasters
Angola,http://floodlist.com/africa/thousands-homes-damaged-floods-luanda-angola,Disasters
Angola,"http://www.portalangop.co.ao/angola/en_us/noticias/sociedade/2015/3/14/Cuanza-Sul-Over-thousand-affected-rains,a0585a11-a431-46f7-be3c-9d89c7a3cfbc.html",Disasters
Argentina,http://www.argentinaindependent.com/tag/rio-parana/,Disasters
Argentina,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/ECHO-Flash-List/yy/2014/mm/6,Disasters
Argentina,http://www.lanacion.com.ar/1679075-el-mapa-de-las-inundaciones-en-todo-el-pais-cuales-son-las-zonas-afectadas,Disasters
